label,total_len,code_len,prompt_len,entropy,api_danger,persistence_risk,sensitive_targets,exfiltration_sites,b64_count,hex_count,injection_keywords,comment_count,line_count,long_line_max
0,5383,0,5383,6.171545251687476,0,0,0,0,0,0,0,0,1,0
0,615,0,615,6.866375168037557,0,0,0,0,0,0,0,0,1,0
0,8190,1304,6886,5.054936268253737,1,0,1,0,0,0,2,19,38,162
0,12264,0,12264,4.515173132817781,0,0,0,0,3,0,0,0,1,0
0,1542,0,1542,6.379323798015151,0,0,0,0,0,0,0,0,1,0
0,107075,93454,13621,4.805774758466219,64,0,34,0,0,0,0,85,2753,135
0,5006,0,5006,6.472672845022276,0,0,0,0,0,0,0,0,1,0
0,84024,71753,12271,5.4612609856891705,55,0,395,0,0,0,0,153,2032,134
0,35542,25028,10514,5.842857773220614,23,0,24,0,0,0,1,60,910,103
0,9592,7822,1770,5.748526645541582,2,13,0,0,0,0,1,524,353,118
0,57936,54097,3839,4.510958728292134,70,0,15,0,0,0,0,1,1623,177
0,877,0,877,5.083505774371503,0,0,0,0,0,0,0,0,1,0
0,889,0,889,5.076329791190182,0,0,0,0,0,0,0,0,1,0
0,21051,5855,15196,5.104286071717259,12,0,0,0,0,0,26,52,148,123
0,19703,0,19703,4.652088206498328,0,0,0,0,0,0,1,0,1,0
0,8240,0,8240,4.820901644815359,0,0,0,0,0,0,0,0,1,0
0,8610,8222,388,4.618839415218651,0,0,0,0,0,0,0,9,325,86
0,21091,14420,6671,4.960023150383452,19,0,1,0,0,0,1,11,378,137
0,7994,5197,2797,5.637794945574216,15,0,0,0,0,0,0,10,167,100
0,5391,0,5391,5.127187292178542,0,0,0,0,0,0,0,0,1,0
0,46641,35899,10742,5.204664717877328,33,4,7,0,0,0,0,37,1220,322
0,2486,1586,900,6.0848327503214445,9,0,0,0,0,0,1,4,44,99
0,168445,151707,16738,5.652576783880322,52,0,31,0,0,0,0,352,4374,209
0,8660,0,8660,4.947929666564393,0,0,0,0,0,0,0,0,1,0
0,6937,0,6937,5.288356881051727,0,0,0,0,0,0,0,0,1,0
0,1421,0,1421,5.028193886746596,0,0,0,0,0,0,0,0,1,0
0,157415,150255,7160,4.832529081381184,31,4,39,0,0,0,0,119,4189,176
0,91762,83247,8515,5.3778804313325015,22,0,0,0,1,0,0,84,2199,153
0,21486,19206,2280,5.254251006134858,5,0,1,0,0,0,0,69,631,152
0,21486,19206,2280,5.254251006134858,5,0,1,0,0,0,0,69,631,152
0,21486,19206,2280,5.254251006134858,5,0,1,0,0,0,0,69,631,152
0,21486,19206,2280,5.254251006134858,5,0,1,0,0,0,0,69,631,152
0,21493,19206,2287,5.2542643842071834,5,0,1,0,0,0,0,69,631,152
0,41321,39269,2052,4.826876360699459,8,0,0,0,0,0,0,122,1179,161
0,18932,17319,1613,5.0646012819449195,4,0,0,0,0,0,0,25,533,135
0,615,0,615,4.6946624848843435,0,0,0,0,0,0,0,0,1,0
0,1880,0,1880,4.77999208421446,0,0,0,0,0,0,0,0,1,0
0,12283,10069,2214,5.023063626740853,3,0,0,0,0,0,2,21,363,91
0,44269,34566,9703,4.952163499043686,23,0,0,0,0,0,2,79,1104,129
0,2267,0,2267,4.793776912054637,0,0,0,0,0,0,2,0,1,0
